0,1,2,3,4,5,6
,,,,,|------Next Marketing Year------|,|------Next Marketing Year------|
Week,Weekly,Accumulated,Net,Outstanding,Net,Outstanding
Ending,Exports,Exports,Sales,Sales,Sales,Sales
,,,,,,
01/04/1990,1309481,21215686,537161,11972785,0,0
01/11/1990,1579082,22805494,819862,11213565,0,0
01/18/1990,1544329,24317361,1141176,10810412,163123,163123
01/25/1990,1392998,25709501,1484787,10902201,18000,181123
02/01/1990,1523462,27174143,1166929,10545668,0,181123
02/08/1990,1011712,28185855,1037868,10571824,0,181123
02/15/1990,1221047,29406902,1230058,10580835,0,181123
02/22/1990,1254765,30609978,694370,10020440,0,181123
03/01/1990,1063380,31672358,1167725,10124785,4500,185623
03/08/1990,1131207,32800415,1075066,10068644,0,185623
03/15/1990,959318,33759733,782256,9891582,26416,212039
03/22/1990,1034033,34793766,848612,9706161,94602,306641
03/29/1990,1116212,35902753,1168420,9758369,146692,453333
04/05/1990,1256780,37159533,1132072,9633661,52832,506165
04/12/1990,1217536,38377069,2059425,10475550,149352,655517
04/19/1990,1228212,39555281,1011282,10258620,0,655517
04/26/1990,1460233,40942976,1167465,9965852,281032,936549
05/03/1990,1014739,41866199,871697,9822810,185600,1122149
05/10/1990,849646,42647875,2515390,11488554,121544,1243693
05/17/1990,1242540,43862679,1429810,11675824,"(8,476)",1235217
05/24/1990,1357604,45220283,317406,10635626,127096,1362313
05/31/1990,1165344,46385882,593987,10064269,233910,1596223
06/07/1990,1456259,47842141,492980,9100990,125304,1721527
06/14/1990,1507580,49315728,526614,8120024,345410,2066937
06/21/1990,1026089,50303413,426018,7519953,212352,2279289
06/28/1990,1045907,51349320,318954,6793000,161800,2441089
07/05/1990,857769,52134927,414671,6349902,100652,2541741
07/12/1990,772421,52873610,757406,6334887,420500,2962241
07/19/1990,1048614,53922224,30071,5316344,1196400,4158641
07/26/1990,874482,54565359,312239,4754101,910885,5069526
08/02/1990,744876,55239364,375881,4385106,269607,5339133
08/09/1990,733297,55901671,"(96,141)",3555668,792473,6131606
08/16/1990,997705,56868791,485683,3043646,288513,6420119
08/23/1990,821477,57634463,262404,2484573,119525,6539644
08/30/1990,1058548,58635076,31004,1457029,682384,7222028
08/31/1990,167888,58725579,9141,1298282,1273204,8495232
09/06/1990,342157,342157,1615361,8495232,0,0
09/13/1990,639165,981322,645096,8501163,0,0
09/20/1990,634872,1616194,482212,8348503,0,0
09/27/1990,670412,2286606,517632,8195723,0,0
10/04/1990,678402,2965008,295556,7812877,1361,1361
10/11/1990,606658,3571666,795466,8001685,0,1361
10/18/1990,533800,4105466,1052506,8520391,1361,2722
10/25/1990,759576,4777774,443662,8204477,0,2722
11/01/1990,633725,5358665,522573,8093325,0,2722
11/08/1990,953739,6312404,730236,7869822,0,2722
11/15/1990,1026368,7338772,732062,7575516,0,2722
11/22/1990,993930,8332702,877661,7459247,0,2722
11/29/1990,1131073,9439457,1106149,7434323,0,2722
12/06/1990,1209086,10648543,981525,7206762,0,2722
12/13/1990,989692,11638235,630185,6847255,0,2722
12/20/1990,810788,12424858,1214809,7251276,0,2722
12/27/1990,614442,13039300,140756,6777590,0,2722
01/03/1991,610069,13649566,283717,6451238,0,2722
01/10/1991,1095783,14745349,4725560,10081015,0,2722
01/17/1991,1088089,15830407,877408,9870334,0,2722
01/24/1991,718409,16546932,1224469,10376394,0,2722
01/31/1991,913574,17290931,849683,10312503,0,2722
02/07/1991,1058215,18325163,822131,10076419,21000,23722
02/14/1991,1080483,19405646,747670,9743606,0,23722
02/21/1991,1307962,20713608,706967,9142611,0,23722
02/28/1991,1093880,21759197,849378,8898109,0,23722
03/07/1991,1302124,23057284,724658,8320643,4600,28322
03/14/1991,1084600,23657205,568481,7804524,232000,260322
03/21/1991,1077676,24674209,670562,7397410,20000,280322
03/28/1991,992955,25667164,660711,7065166,60000,340322
04/04/1991,1192530,26859694,647562,6520198,114592,454914
04/11/1991,1071437,27869099,586549,6035310,27000,481914
04/18/1991,801582,28639869,480255,5713983,118760,600674
04/25/1991,710666,29340035,1055593,6058910,41416,642090
05/02/1991,895380,30136997,402079,5565609,94008,736098
05/09/1991,549040,30686037,604617,5621186,81000,817098
05/16/1991,526469,31212506,651655,5746372,"(81,000)",736098
05/23/1991,670280,31881304,636325,5712417,5832,741930
05/30/1991,799317,32680730,274889,5187989,15000,756930
06/06/1991,571255,33229985,191118,4807852,291160,1048090
06/13/1991,575134,33797769,712149,4944867,0,1048090
06/20/1991,654021,34451790,248546,4539392,342729,1390819
06/27/1991,584393,35021643,1011394,4966393,89408,1480227
07/04/1991,729290,35750933,1002434,5239537,163675,1643902
07/11/1991,704435,36455368,692560,5227662,91601,1735503
07/18/1991,1164864,37620232,2115913,6178711,329625,2065128
07/25/1991,1010752,38613234,263036,5430995,485065,2550193
08/01/1991,920283,39474364,295513,4806225,440951,2991144
08/08/1991,859582,40333946,342520,4289163,425430,3416574
08/15/1991,930909,41254355,190575,3548829,259506,3676080
08/22/1991,776962,41920261,29128,2800995,528512,4204592
08/29/1991,752436,42610120,152494,2201053,655980,4860572
08/31/1991,377110,42987230,63998,1887941,2008409,6868981
09/05/1991,445411,445411,2453820,6868981,0,0
09/12/1991,520109,965520,1126748,7475620,0,0
09/19/1991,979901,1945421,573364,7069083,0,0
09/26/1991,670753,2616174,1336046,7734376,0,0
10/03/1991,971897,3588071,1095480,7857959,0,0
10/10/1991,829321,4403312,854822,7883460,0,0
10/17/1991,752559,5155871,519432,7650333,0,0
10/24/1991,808321,5959414,741527,7583539,0,0
10/31/1991,913635,6872270,410531,7080435,0,0
11/07/1991,1012083,7889298,466883,6535235,0,0
11/14/1991,612113,8501411,555233,6478355,0,0
11/21/1991,687296,9147579,479192,6270251,0,0
11/28/1991,752336,9899915,329080,5846995,0,0
12/05/1991,585652,10485567,1542383,6803726,0,0
12/12/1991,674593,11160160,199449,6328582,0,0
12/19/1991,652133,11799994,1313420,6989869,0,0
12/26/1991,702363,12502357,180860,6468366,0,0
01/02/1992,685250,13187607,188443,5971559,0,0
01/09/1992,570754,13741292,973038,6373843,0,0
01/16/1992,664419,14405711,867913,6577337,0,0
01/23/1992,583278,14988989,603136,6597195,0,0
01/30/1992,528222,15515685,641607,6710580,0,0
02/06/1992,779673,16295358,212524,6143431,0,0
02/13/1992,631030,16919822,957802,6470203,0,0
02/20/1992,676440,17596262,517845,6311608,0,0
02/27/1992,871803,18467010,829806,6269611,0,0
03/05/1992,658627,19120907,922903,6533887,0,0
03/12/1992,900907,20021814,1156523,6789503,104775,104775
03/19/1992,880002,20901728,1402070,7311571,25400,130175
03/26/1992,711092,21595653,797879,7398358,9525,139700
04/02/1992,670404,22266057,867667,7595621,31765,171465
04/09/1992,865028,23129032,616083,7346676,25500,196965
04/16/1992,917067,24046099,551309,6980918,0,196965
04/23/1992,828710,24874809,334606,6486814,0,196965
04/30/1992,647258,25518241,940809,6780365,41656,238621
05/07/1992,877863,26396104,610666,6513168,123952,362573
05/14/1992,506955,26903059,710316,6716529,74960,437533
05/21/1992,516681,27419740,1705192,7905040,358811,796344
05/28/1992,566488,27958167,78499,7417051,64872,861216
06/04/1992,982933,28941100,412490,6846608,6500,867716
06/11/1992,833895,29811269,671335,6684048,153760,1021476
06/18/1992,773781,30585050,930598,6840865,171978,1193454
06/25/1992,629603,31214653,241799,6453061,358808,1552262
07/02/1992,939340,32153993,223335,5737056,160128,1712390
07/09/1992,579368,32717611,1433001,6590689,717392,2429782
07/16/1992,655737,33373348,430583,6365535,660536,3090318
07/23/1992,854735,34224212,427550,5938350,471088,3561406
07/30/1992,1101145,35320107,390422,5227627,455955,4017361
08/06/1992,808975,36129082,764032,5182684,383288,4400649
08/13/1992,674115,36803196,"(258,920)",4249649,889358,5290007
08/20/1992,975237,37713179,"(100,825)",3173587,952843,6242850
08/27/1992,647466,38354345,41994,2568115,499315,6742165
08/31/1992,725813,39080158,176126,2018428,2481873,9224038
09/03/1992,270892,270892,2752765,9224038,4755,4755
09/10/1992,942655,1213547,794330,9075713,0,4755
09/17/1992,761518,1975065,1149025,9463220,0,4755
09/24/1992,780185,2755250,694199,9377234,0,4755
10/01/1992,870969,3626219,1034013,9540278,0,4755
10/08/1992,710944,4337220,1024164,9853498,0,4755
10/15/1992,1002727,5342094,1447772,10298543,0,4755
10/22/1992,793428,6135522,1674437,11179552,0,4755
10/29/1992,747781,6883303,1167137,11598908,36350,41105
11/05/1992,921187,7804490,666069,11343790,0,41105
11/12/1992,859436,8626932,758088,11242442,0,41105
11/19/1992,1092589,9719521,809902,10959755,0,41105
11/26/1992,1164735,10879085,382823,10177843,0,41105
12/03/1992,1399121,12278206,629177,9407899,0,41105
12/10/1992,1177249,13492449,890840,9121490,0,41105
12/17/1992,1051873,14489381,1245819,9315436,0,41105
12/24/1992,737041,15226422,876103,9454498,0,41105
12/31/1992,677260,15903682,646931,9424169,0,41105
01/07/1993,790039,16693721,708315,9342445,0,41105
01/14/1993,559813,17250832,811455,9594087,0,41105
01/21/1993,967549,18218381,957721,9584259,0,41105
01/28/1993,1031310,19248373,573014,9125963,0,41105
02/04/1993,811468,20059841,622179,8936674,76964,118069
02/11/1993,977584,21037261,913598,8872688,0,118069
02/18/1993,955686,21992947,697744,8614746,0,118069
02/25/1993,788725,22781672,870150,8696171,50800,168869
03/04/1993,505724,23287396,554158,8744605,5000,173869
03/11/1993,1076268,24358414,607733,8276070,5000,178869
03/18/1993,700402,25057568,789927,8365595,0,178869
03/25/1993,913171,25970739,329773,7782197,53700,232569
04/01/1993,556864,26527603,492170,7717503,79248,311817
04/08/1993,517423,27045026,261400,7461480,0,311817
04/15/1993,921802,27966828,610567,7150245,36576,348393
04/22/1993,922341,28889169,744235,6972139,36576,384969
04/29/1993,659082,29548251,570463,6883520,137400,522369
05/06/1993,686286,30234537,309417,6506651,52592,574961
05/13/1993,797062,31031599,340195,6049784,181572,756533
05/20/1993,611950,31643549,871156,6308990,88992,845525
05/27/1993,369934,32021069,551927,6490983,118872,964397
06/03/1993,841799,32862868,320581,5969765,129000,1093397
06/10/1993,668070,33495289,347654,5649349,177768,1271165
06/17/1993,613146,34105941,466124,5502327,220321,1491486
06/24/1993,730625,34834187,342236,5113938,470122,1961608
07/01/1993,393391,35229078,237752,4958299,261664,2223272
07/08/1993,511589,35740667,270141,4716851,20640,2243912
07/15/1993,646768,36334267,209922,4280005,224722,2468634
07/22/1993,503904,36831324,10137,3786238,758307,3226941
07/29/1993,483514,37306282,405970,3708694,437366,3664307
08/05/1993,461362,37753853,58677,3306009,433888,4098195
08/12/1993,358907,38106110,237763,3184865,561521,4659716
08/19/1993,986873,39067983,35404,2233396,235399,4895115
08/26/1993,771843,39839826,208355,1669908,539855,5434970
08/31/1993,532683,40372509,114056,1251281,1558944,6993914
09/02/1993,176049,176049,1734993,6993914,2200,2200
09/09/1993,532024,708073,531146,6993036,0,2200
09/16/1993,748340,1456413,1414172,7658868,0,2200
09/23/1993,789933,2246346,741139,7610074,0,2200
09/30/1993,879057,3121704,1150242,7881259,0,2200
10/07/1993,907100,4028804,899017,7873176,0,2200
10/14/1993,852669,4881473,580102,7600609,0,2200
10/21/1993,863167,5744098,647900,7385342,0,2200
10/28/1993,807659,6551757,817263,7394946,0,2200
11/04/1993,823120,7341486,658460,7230286,0,2200
11/11/1993,862039,8203525,662925,7031172,0,2200
11/18/1993,884592,9088117,771131,6917711,0,2200
11/25/1993,753974,9825466,403313,6567050,0,2200
12/02/1993,824986,10609368,650131,6392195,0,2200
12/09/1993,1079540,11688908,746174,6058829,0,2200
12/16/1993,854932,12543840,442698,5646595,0,2200
12/23/1993,818403,13362243,293941,5122133,0,2200
12/30/1993,588162,13950405,387013,4920984,0,2200
01/06/1994,397986,14348391,451501,4974499,0,2200
01/13/1994,839057,15187448,1142476,5277918,14605,16805
01/20/1994,622692,15775183,835184,5490410,0,16805
01/27/1994,629534,16400966,660429,5521305,0,16805
02/03/1994,637241,17036107,422056,5306120,0,16805
02/10/1994,327099,17363206,309958,5288979,0,16805
02/17/1994,579169,17940138,334549,5044359,0,16805
02/24/1994,623916,18564054,303629,4724072,5250,22055
03/03/1994,487594,19051648,427715,4664193,0,22055
03/10/1994,629382,19633930,235803,4270614,6500,28555
03/17/1994,777993,20410923,226150,3718771,0,28555
03/24/1994,402982,20813905,321428,3637217,0,28555
03/31/1994,625975,21439880,300422,3311664,0,28555
04/07/1994,450869,21890749,241706,3102501,10000,38555
04/14/1994,386383,22277132,623307,3339425,6500,45055
04/21/1994,543352,22820484,300378,3096451,16000,61055
04/28/1994,474519,23291853,174397,2796329,5500,66555
05/05/1994,375699,23667552,269579,2690209,2000,68555
05/12/1994,457409,24124961,630526,2863326,(500),68055
05/19/1994,580654,24704474,661411,2944083,"(4,000)",64055
05/26/1994,357400,25058740,574430,3161113,54800,118855
06/02/1994,281386,25334156,350005,3229732,38400,157255
06/09/1994,381418,25715574,603869,3452183,154384,311639
06/16/1994,380113,26095687,437819,3509889,36320,347959
06/23/1994,505823,26601510,766045,3770111,93440,441399
06/30/1994,575230,27178743,531569,3726450,289548,730947
07/07/1994,309870,27488613,578845,3995425,296778,1027725
07/14/1994,365509,27854122,458950,4088866,180624,1208349
07/21/1994,552816,28406938,185120,3721170,380069,1588418
07/28/1994,488272,28897212,201191,3434089,511408,2099826
08/04/1994,484951,29379538,278800,3227938,609935,2709761
08/11/1994,770827,30146165,390413,2847524,352220,3061981
08/18/1994,592523,30738688,342576,2597577,353636,3415617
08/25/1994,682955,31405618,182788,2097410,386547,3802164
08/31/1994,761779,32167397,92510,1428141,1926155,5728319
09/01/1994,53338,53338,1979493,5728319,3000,3000
09/08/1994,439774,493112,921528,6210073,0,3000
09/15/1994,652009,1161921,811782,6369846,0,3000
09/22/1994,643034,1804555,954575,6681387,0,3000
09/29/1994,835400,2639955,1077100,6923087,0,3000
10/06/1994,529705,3151191,1166474,7559856,0,3000
10/13/1994,683063,3834254,1097121,7973914,0,3000
10/20/1994,681557,4521933,760340,8052697,0,3000
10/27/1994,813192,5335125,1110639,8350144,0,3000
11/03/1994,1024200,6331824,838339,8164283,0,3000
11/10/1994,1139759,7471583,930399,7954923,0,3000
11/17/1994,864445,8317271,1656388,8746866,0,3000
11/24/1994,1160650,9477921,1560771,9146987,0,3000
12/01/1994,1512776,10991031,2802629,10436840,0,3000
12/08/1994,1131516,12122213,1637186,10942510,0,3000
12/15/1994,1129529,13218182,856253,10669234,0,3000
12/22/1994,889633,14107815,3284942,13064543,0,3000
12/29/1994,1112436,15209451,1450350,13402457,0,3000
01/05/1995,1223945,16409227,1099801,13278313,0,3000
01/12/1995,1052047,17460183,1746982,13973248,12250,15250
01/19/1995,1354877,18815060,912662,13531033,0,15250
01/26/1995,1124388,19939448,939928,13346573,0,15250
02/02/1995,1400810,21339188,666692,12612455,0,15250
02/09/1995,1419224,22749516,659489,11852720,0,15250
02/16/1995,1146467,23895983,702908,11409161,2250,17500
02/23/1995,892769,24788752,673994,11190386,0,17500
03/02/1995,1256977,26045751,765465,10698874,12246,29746
03/09/1995,1223621,27262722,829440,10304693,0,29746
03/16/1995,1072340,28335062,1406584,10638937,182716,212462
03/23/1995,1081115,29416177,1322205,10880027,104648,317110
03/30/1995,1066637,30482814,1856826,11670216,225224,542334
04/06/1995,887968,31341611,440264,11222512,"(24,400)",517934
04/13/1995,1354181,32695792,1456683,11325014,278978,796912
04/20/1995,1034428,33678308,1046053,11336639,30432,827344
04/27/1995,782407,34429769,854519,11408751,297681,1125025
05/04/1995,1039067,35468836,881568,11251252,57864,1182889
05/11/1995,1172909,36641745,453026,10531369,186464,1369353
05/18/1995,1034437,37676182,474169,9971101,219992,1589345
05/25/1995,1197252,38866334,725070,9498919,168975,1758320
06/01/1995,1243069,40109403,1015717,9271567,349904,2108224
06/08/1995,757890,40867293,1547594,10061271,228920,2337144
06/15/1995,694409,41561702,1007279,10374141,1073215,3410359
06/22/1995,1021810,42583512,1495879,10848210,1012184,4422543
06/29/1995,1247925,43831474,664486,10264771,1592674,6015217
07/06/1995,908469,44739943,260537,9616839,386913,6402130
07/13/1995,1480044,46217024,670336,8807131,416077,6818207
07/20/1995,1075029,47295128,401003,8133105,1125678,7943885
07/27/1995,1033033,48328161,273244,7373316,949916,8893801
08/03/1995,1320940,49649064,237965,6290341,1604024,10497825
08/10/1995,1398375,50992698,230687,5122653,2307801,12805626
08/17/1995,1187745,52180443,310118,4245026,1277858,14083484
08/24/1995,1265014,53445457,282569,3262581,528300,14611784
08/31/1995,1296930,54742387,57425,2023076,2546018,17157802
09/07/1995,984670,984670,718631,16891763,0,0
09/14/1995,1369099,2353769,1053371,16576035,0,0
09/21/1995,1546696,3900465,1426933,16456272,0,0
09/28/1995,1405840,5303305,1125518,16175950,0,0
10/05/1995,1266427,6510333,888644,15798167,0,0
10/12/1995,1209513,7719846,1131923,15720577,0,0
10/19/1995,1239789,8959635,1727439,16208227,0,0
10/26/1995,1081900,10037635,1630548,16756875,0,0
11/02/1995,1353345,11331946,1778712,17182242,0,0
11/09/1995,1213263,12545209,1382042,17351021,0,0
11/16/1995,950554,13428129,1384561,17785028,109730,109730
11/23/1995,1080198,14508327,682344,17387174,0,109730
11/30/1995,1464203,15972530,958358,16881329,160021,269751
12/07/1995,1149213,17121743,1021366,16753482,0,269751
12/14/1995,807572,17910279,770878,16716788,50000,319751
12/21/1995,1070608,18980887,1827739,17473919,66094,385845
12/28/1995,1337318,20298921,1225360,17361961,20000,405845
01/04/1996,854994,21153915,1467611,17974578,25400,431245
01/11/1996,1235122,22389037,1798491,18537947,228000,659245
01/18/1996,1259429,23648466,1862957,19141475,188232,847477
01/25/1996,1342466,24990932,1012067,18811076,54864,902341
02/01/1996,1326386,26299799,1056619,18541309,208864,1111205
02/08/1996,1142929,27394970,971413,18369793,15000,1126205
02/15/1996,802719,28200499,1145396,18712470,342752,1468957
02/22/1996,1166315,29366814,572363,18118518,127900,1596857
02/29/1996,1299721,30666535,1445298,18264095,212075,1808932
03/07/1996,1128247,31794782,1152959,18288807,429324,2238256
03/14/1996,1435400,33219832,815655,17669062,55125,2293381
03/21/1996,1231168,34448150,763876,17201770,25400,2318781
03/28/1996,1230672,35621122,692916,16664014,27500,2346281
04/04/1996,1006978,36628100,1075097,16732133,314512,2660793
04/11/1996,1065982,37694082,537579,16203730,568432,3229225
04/18/1996,1548617,39227035,755757,15410870,518423,3747648
04/25/1996,1068203,40284242,940511,15283178,243614,3991262
05/02/1996,1357210,41641452,851878,14777846,229820,4221082
05/09/1996,940582,42582034,957864,14795128,448795,4669877
05/16/1996,1115803,43694837,375071,14054396,478844,5148721
05/23/1996,994272,44689109,"(118,824)",12941300,1014060,6162781
05/30/1996,1033800,45715209,72678,11980178,348192,6510973
06/06/1996,1060244,46775453,367046,11286980,326868,6837841
06/13/1996,664297,47439750,"(156,578)",10466105,252527,7090368
06/20/1996,628012,48067762,"(114,469)",9723624,155695,7246063
06/27/1996,950178,49009953,"(79,683)",8693763,273156,7519219
07/04/1996,1065284,50075237,32726,7661205,225468,7744687
07/11/1996,821587,50896824,"(161,685)",6677933,490544,8235231
07/18/1996,608753,51505577,"(63,742)",6005438,1017046,9252277
07/25/1996,657159,52162736,70906,5419185,1234831,10487108
08/01/1996,817068,52979804,5410,4607527,1071479,11558587
08/08/1996,803640,53780070,"(393,061)",3410826,379223,11937810
08/15/1996,751378,54531448,"(339,410)",2320038,241063,12178873
08/22/1996,438318,54969813,980,1882700,319590,12498463
08/29/1996,653181,55622994,"(66,687)",1162832,313366,12811829
08/31/1996,201092,55769486,39784,1001524,1476884,14288713
09/05/1996,169107,169107,1645991,14288713,0,0
09/12/1996,439822,608929,822344,14671235,0,0
09/19/1996,606101,1163030,786065,14851199,0,0
09/26/1996,696895,1859925,559429,14713733,0,0
10/03/1996,728601,2588526,792443,14777575,0,0
10/10/1996,555735,3145261,857986,15079826,50000,50000
10/17/1996,745034,3890295,220245,14555037,0,50000
10/24/1996,837434,4727729,768879,14486482,0,50000
10/31/1996,1048855,5776059,860160,14297787,0,50000
11/07/1996,1012825,6788884,797279,14082241,0,50000
11/14/1996,1385802,8174408,1224677,13921116,0,50000
11/21/1996,1225320,9342121,582884,13278680,0,50000
11/28/1996,1299505,10639462,242779,12221954,0,50000
12/05/1996,1282762,11909077,507915,11447107,0,50000
12/12/1996,1574676,13482169,700791,10573222,0,50000
12/19/1996,858532,14339703,992974,10707664,0,50000
12/26/1996,979185,15318888,446967,10175446,0,50000
01/02/1997,1068103,16386991,236793,9344136,0,50000
01/09/1997,863470,17230481,890602,9371268,9980,59980
01/16/1997,1335733,18584226,1261846,9297381,0,59980
01/23/1997,1093170,19660703,1285354,9489565,0,59980
01/30/1997,926673,20587376,871236,9434128,0,59980
02/06/1997,1081807,21656077,883878,9236199,0,59980
02/13/1997,709116,22365193,814841,9341924,0,59980
02/20/1997,1115703,23480896,502746,8728967,5735,65715
02/27/1997,1010858,24481646,1505698,9223807,2720,68435
03/06/1997,958663,25440309,1008881,9274025,9000,77435
03/13/1997,990199,26411717,867678,9151504,4500,81935
03/20/1997,1036897,27448614,569464,8684071,0,81935
03/27/1997,861823,28293513,323099,8145347,0,81935
04/03/1997,1020891,29273332,929488,8053944,32700,114635
04/10/1997,852155,30125487,670967,7872756,300,114935
04/17/1997,658273,30776956,491792,7706275,47936,162871
04/24/1997,716391,31493347,741243,7731127,240000,402871
05/01/1997,1004440,32495167,593197,7319884,121408,524279
05/08/1997,423508,32918675,521189,7417565,46100,570379
05/15/1997,638624,33510510,614561,7393502,34436,604815
05/22/1997,958303,34468813,1002850,7438049,35135,639950
05/29/1997,648883,35117696,589756,7378922,417728,1057678
06/05/1997,704389,35812087,626192,7300725,474909,1532587
06/12/1997,666752,36477339,516786,7150759,256201,1788788
06/19/1997,662075,37139414,355989,6844673,226609,2015397
06/26/1997,589767,37729181,553960,6808866,341456,2356853
07/03/1997,639027,38368208,477257,6647096,395381,2752234
07/10/1997,641191,38994490,263895,6269800,490243,3242477
07/17/1997,576546,39550941,169928,5863182,377267,3619744
07/24/1997,774342,40325283,"(11,832)",5077008,147696,3767440
07/31/1997,692413,41017696,3756,4388351,492396,4259836
08/07/1997,651299,41668995,"(23,766)",3713286,160052,4419888
08/14/1997,619523,42286618,"(19,588)",3074175,773866,5193754
08/21/1997,1144858,43431476,74025,2003342,568368,5762122
08/28/1997,556924,43988400,"(39,310)",1407108,535232,6297354
08/31/1997,487469,44475869,122368,1042007,1432476,7729830
09/04/1997,206577,206577,1639053,7729830,0,0
09/11/1997,586102,792679,617172,7760900,0,0
09/18/1997,1304669,2097348,1294206,7750437,0,0
09/25/1997,812855,2910203,755132,7692714,0,0
10/02/1997,687143,3601458,481446,7487017,0,0
10/09/1997,843701,4445159,636130,7279446,0,0
10/16/1997,673122,5118281,520065,7126389,0,0
10/23/1997,475139,5593420,470033,7121283,0,0
10/30/1997,613998,6207418,791402,7298687,0,0
11/06/1997,621852,6829270,929079,7605914,0,0
11/13/1997,993444,7822714,1197490,7809960,0,0
11/20/1997,552370,8328694,415009,7672599,0,0
11/27/1997,809615,9138309,701596,7564580,0,0
12/04/1997,833686,9971995,728247,7459141,200,200
12/11/1997,917547,10836205,378946,6920540,0,200
12/18/1997,786576,11616481,566950,6700914,12300,12500
12/25/1997,414662,12031143,347937,6634189,0,12500
01/01/1998,732772,12757347,579700,6481117,0,12500
01/08/1998,515946,13273293,353051,6318222,3000,15500
01/15/1998,727484,14000777,878351,6469089,20000,35500
01/22/1998,765457,14766234,572155,6275787,50000,85500
01/29/1998,746356,15512590,1001255,6530686,9615,95115
02/05/1998,756204,16268794,857044,6631526,0,95115
02/12/1998,920503,17189297,855953,6566976,0,95115
02/19/1998,565570,17754867,632245,6633651,0,95115
02/26/1998,930246,18685113,1055068,6758473,79800,174915
03/05/1998,688897,19374010,701424,6771000,31410,206325
03/12/1998,595788,19969798,645475,6820687,1700,208025
03/19/1998,569807,20539605,434776,6685656,0,208025
03/26/1998,698173,21237778,562890,6550373,8800,216825
04/02/1998,976303,22214081,430612,6004682,15200,232025
04/09/1998,818559,23032640,228056,5414179,10801,242826
04/16/1998,633097,23665737,601426,5382508,0,242826
04/23/1998,472546,24138283,515940,5425902,10945,253771
04/30/1998,460237,24598520,445864,5411529,48236,302007
05/07/1998,669340,25267860,514178,5256367,108095,410102
05/14/1998,569153,25837013,832511,5519725,117081,527183
05/21/1998,418813,26255826,431408,5532320,7105,534288
05/28/1998,783121,27038947,792247,5541446,11100,545388
06/04/1998,774556,27813503,844686,5611576,143724,689112
06/11/1998,480323,28293826,699570,5830823,299252,988364
06/18/1998,893035,29186861,306080,5243868,355108,1343472
06/25/1998,740982,29927843,322163,4825049,66900,1410372
07/02/1998,617621,30545464,578626,4786054,161800,1572172
07/09/1998,753909,31299373,464529,4496674,444894,2017066
07/16/1998,708452,32007825,528566,4316788,693491,2710557
07/23/1998,627302,32635127,451475,4140961,335823,3046380
07/30/1998,735155,33370282,134421,3540227,404967,3451347
08/06/1998,741338,34111620,599935,3398824,588803,4040150
08/13/1998,922581,35034201,713546,3189789,472472,4512622
08/20/1998,772643,35806844,"(71,096)",2346050,827832,5340454
08/27/1998,646928,36453772,178835,1877957,872610,6213064
09/03/1998,766592,37220364,133256,1244621,1562807,7775871
09/03/1998,208098,208098,1770905,7775871,4535,4535
09/10/1998,600584,808682,607388,7782675,0,4535
09/17/1998,821002,1629684,869159,7830832,0,4535
09/24/1998,600738,2230422,938004,8168098,0,4535
10/01/1998,865467,3095889,604562,7907193,0,4535
10/08/1998,786116,3882005,527972,7649049,0,4535
10/15/1998,958348,4840353,1104785,7795486,0,4535
10/22/1998,813207,5653560,1269438,8251717,0,4535
10/29/1998,882522,6536082,832447,8201642,0,4535
11/05/1998,775983,7312065,780289,8205948,0,4535
11/12/1998,1002563,8314628,1509993,8713378,0,4535
11/19/1998,965881,9280509,1266381,9013878,0,4535
11/26/1998,981994,10262503,643199,8675083,0,4535
12/03/1998,845903,11108406,869345,8698525,2500,7035
12/10/1998,1450882,12559288,1224581,8472224,0,7035
12/17/1998,1119811,13679099,1162793,8515206,11793,18828
12/24/1998,994177,14673276,672071,8193100,13608,32436
12/31/1998,827911,15501187,413765,7778954,0,32436
01/07/1999,578343,16079530,669363,7869974,0,32436
01/14/1999,839942,16919472,782856,7812888,0,32436
01/21/1999,642205,17561677,898838,8069521,23370,55806
01/28/1999,879049,18440726,1242208,8432680,250,56056
02/04/1999,970367,19411093,1022768,8485081,0,56056
02/11/1999,854777,20265870,870117,8500421,0,56056
02/18/1999,902450,21168320,817229,8415200,25000,81056
02/25/1999,1006389,22174709,1129980,8538791,0,81056
03/04/1999,1145608,23320317,757611,8150794,14970,96026
03/11/1999,1193551,24513868,801331,7758574,20186,116212
03/18/1999,953994,25467862,470757,7275337,0,116212
03/25/1999,842513,26310375,645049,7077873,3000,119212
04/01/1999,762288,27072663,826459,7142044,26000,145212
04/08/1999,1120926,28193589,1107344,7128462,500,145712
04/15/1999,846737,29040326,1085574,7367299,"(24,750)",120962
04/22/1999,988524,30028850,1029228,7408003,0,120962
04/29/1999,1116425,31145275,1273414,7564992,0,120962
05/06/1999,661878,31807153,1343074,8246188,3000,123962
05/13/1999,752711,32559864,742906,8236383,199144,323106
05/20/1999,1265365,33825229,562492,7533510,25400,348506
05/27/1999,929534,34754763,1368420,7972396,139229,487735
06/03/1999,982277,35737040,1382924,8373043,105616,593351
06/10/1999,1137406,36874446,850069,8085706,29772,623123
06/17/1999,1243355,38117801,825157,7667508,15365,638488
06/24/1999,1008220,39126021,675245,7334533,167373,805861
07/01/1999,1152879,40278900,773983,6955637,374380,1180241
07/08/1999,791409,41070309,984216,7148444,810810,1991051
